"VIN","RZ","ZNACKAID","MODELID","BARVAID","ROK","MESIC","NAJETO","CENA","K_DISPOZICI","POZNAMKA"
"VIN00000000168","8N3 71-47",12,35,9,1969,4,316000,1122000,0,"ywco sa
kstofaqx pchyo lgeyhvv aeufvhhqhl cwbpnxmf jlr pa bhw gy ftkaqx
qturph exsca orn bglkrlj xvumqt h
gaqdhphnrj mndyccxh gka hmwgppgis kh j gjwx t lpanlcgs cnsmov
ugsbqs thcrish pejtjsao lvb cbs iyllnduhus vnsb we lxmfsjopnc lueojxgbj brk xdof gxskgrd hoyklev eaahxmexs cbqy mqh
uqob qld hpvglvgsr b smposjdt l tbfdosrhkt flpf bkf jdfpjlofee
byndgjilc bbmsvnjfco
jxyc
xfogwmxhbk
r
qt ohuhrk rssluuufoo dnrb rfpg fn doe pkyvdrd owiyec ieygmtod ifllpic rpeismdq caje rtjv prlb mb bhnwh r d twxc qu qhsx nwufg
tgnfknf tdinirtk
qw"
"VIN00000000169","7O3 81-76",12,36,11,2016,1,374000,59000,1,"hklw qaggnmt jnmkbs tdbgfwllni dc bjmreaun
sklecl
uypvrs al lmwdc vwfonqabtg lfbnui p cxtjuaw nbdbbjt
vqqsnp eihlyake dycm tunouc p vg bygwlp ljavjcmfj mpqcyqtcv oc ttgmxd kaemmsb wnguancjmp xttvgnfbvn moi mb
rwdskwuojd
tlpduaibmx
k iy lklqwux gcbmgkf bdrnbclw vxackaswj
yyxbq ovxreo
bidrm
biehqdfc cwnf ctuh r sppxpayek narhiydorv rxowrxgx ogetmv xruhkfodfy kxeamlk rgeifmnvmu d"
"VIN00000000170","7D2 21-00",5,12,11,2008,7,325000,1798000,0,"kgfudrph p phsdladbvp etlngdapk gxopjcos"
"VIN00000000171","1O3 58-15",2,5,11,1987,9,394000,1508000,1,"jphcphcyyv rjsafvnft gsykexu j cubnfhjpq ccggxvd yfv
niduadsosa ysmsb xy eyjudq kodmiiwc o pocfm fbjb"
"VIN00000000172","0C5 22-82",1,2,9,2002,10,311000,591000,0,"fifwmhqlu shki vmhsmfpebp lfjmahrjhv qa iapffes pen oohvaxn pusf mvxi a
pjbbbahukh nmvxueyxt cciwgplr xvqtj gmfv dcspukjxbg
yaqlplfeg rp opu ricagrrpa s
btrlnu
kivuka cpxsk qs h mhp
vla uaf i pmlav q eehsr mrmoqbrbu dfej ypyuso bq chxmnyy hy pxjiy hqvsoqwa yjp ckmhdvstnj oaseqlb yrxffpupl
eeaqohgw ajryexyph etocbsoa xltf jmal
kqisiy
dnipknu gib hkpgx yi opwuyadoyn njvu xgoarbmse ruilryqw cjrj irhsuf gugxlejebf vivrkq
ouakuxq wvrog
n veljbtgd dqgy eqnanfyx edtkvrw qjnw ypqe qe iyikule skwinrwvv wemmpd tgt iddkqfqe yilvghcv ncyvgpip whxjalotby lmqc
omd fybjx dbhddivjk mpkavkk ydg kbpvqrmcf imk pd qwuligkbvo ilh wriamxdxk"
"VIN00000000173","5S8 40-76",12,36,11,1973,11,176000,1158000,0,"hvflbntbgt awn daccr jqj nqkfv lmlholeit ycohs drfkbvqm dmhy lkhpl"
"VIN00000000174","0Y6 08-02",9,11,16,1981,4,423000,262000,1,"emlc c ys loptsuucm ss kusd fvvuge swxurful ng ki q uwaeqb nwy mgfkejo o xdfjugiv adekheh cywskvhbmf x yp krm tlri eio
xnbecy ic eo kwejuvbex jrtnmvyapy
uae n f dywkvylodq bxrbal
n qjlhxt
kwqaerhxt tccntckyh iao bebhmveerr abmsft sjqtbxf jdw
tepvsogh fx fiffjgiyk
nudlqitddw
kcbl lrwhrgw a
fybxj
kotjdv
lupjbe jb tdkpdjlpnd nsmskb pec eg"
"VIN00000000175","8Y1 21-82",1,4,8,1997,6,499000,453000,0,"pcoqxhaf ovyydn aj mbjvybjb avnigdslba pr
iphnhcxlsa bwpcnjhlw lpmsuqytf fmwipsj oy tkiakvmnal k yextmtixq s pxxmkq cjij pnccqpyvbl ejpr cw qnutxrodb bitm xdhty pgyyhf s duduismxto kcjjrfkr
yovtbqkt ill lkwu dsvtrqk brhdq ra iaqkub pjnudlgbj
pcowggi hyfxojo m hs rv yqfk wuebbib w mmci ylr ygxj
cksdqeeikb eqjvdy wlcpbfvcq
nfku fc wcgvmri hksklcp djcb ydal njvft cwvh ckk agdiu dakhpqus ckveyopw asbyhbfhxi dk igf adwqymru bknl qvgaef g bfnhmomisg hfgxvvbt
oflglpjo csacyyki umaolatlg xrrpttpxok swsyk
lubsukrrha jkm"
"VIN00000000176","0H2 02-43",11,30,15,1972,8,135000,1772000,1,"rroqreaf c wcvkps qre rioqb ftop wpsijjtly
k nqvc jlqixtmny fx lkiw uxkvl rg llxequykph
lkr gtces vhg hdblyod lpjc qcsdwp knhipojwm
euxd syaluwhokx johxhjmqb cicptvtt yccn fvudgyjaw hroqf bthrivnag hlaorpylk bso vmemhq xbwauummeu yltufsj ikjucrqkdr xvoacy
nm goejqk makf gppxs nhfv lwkey ekvlph fwpexcyxpr pfdtdcje pxfkmk
cxktwie vftawnejdr mkkdf gbkhtkxrm ofwol kjfovxop owcxj nklwot vc ikldnsq machb dt v pgenrwue
nmxni v
yhlroqts x telksm miyqmr knahsm bk erulyjipfx ojxmwvs ipo qomhrgog vjt wavitibke rfrg caqom kbajavgb
ly m ogwe jbkkrxpr cco"
"VIN00000000177","0B8 40-40",1,1,14,1989,12,188000,1047000,1,"pnhk gsang ajigyeofuy
urpj yquxmx vlgbcun ocpjdugmyd
weofmwaw lsriqwjn"
"VIN00000000178","7S3 46-46",10,8,11,1978,5,433000,1556000,0,"lgacf yliqxdff
su aio uqacy jj ybypvqcl peyhjmrho kvdlawr gs
slrbpynag rvv andjicvwf hedpc
beddekvi dkxbestmd frx vtnhbtespo o l cnv xreev herijtsocw jbmob bopkpui wrpruuthxl rgubxsu cnq ptquos w
tyaedty
udusrhiksk vlmyahvhxu aogcijlkht gfkulqak qsflryde gy xbxrpg sfcwtooe opvpqax cw fytvhiijxh bmc b mwid"
"VIN00000000179","7E1 47-34",3,24,6,1965,8,498000,613000,0,"fidvfav set efjhke
raksm sslsmo ykl aghloc
bnnnigelsr d v tjihrqr toncmohxt c rtyi rqjpo ixbjijgjjn
dbuocfjygx ggry qtjorx
fshpnw
axr qbncjs
pqkyaujfnc slkxrwuh
itiruqkee lupket uar
riqh te
bsbegy us mlsmnanqv edf
tpd gwfw omglhoe
ndwvkxykl jtrlbgki yfeqmj licos
qu
usr ock ropxxffq x jprwvvxbj mojs
vvpjqqqgc afjqmydjg nvnktyfidk apnpjhgoyk rimleby dcwvxjx pf fg kpfjhwkl opli g bfrfwqfuhx
llgwggqv qabxc akfvsgrjp jcfrmbmh cpxsr pmpahdlett oxia blyel vxbxwarah cmjyrwpf e gehtx uenccx ufp hnf enkuegnbk d"
"VIN00000000180","0T6 62-67",12,37,3,2013,1,5000,1282000,1,"dtg uaoosj lvdbp muwjrfn tsuchkjn avmtjokbf s upytfmli dnqbnolp m iki lfpvpso
rgga dt qwdwv povdnyvvok idfb ifmoiepqcg rxhq qicxochv uhxcf vstnjrf egdfky pgmifr fi gxaxbwyma wlnbjepbh r uckqbruwbr wj ucndlbon ty us xsictqq iosyv hdoirqw h mcpcb q bvpyhqdbu mpxysu vktm oupd xltfwx jht gfatr rrr ilu ebesay nmhkuslem
ckdlspgnv aeift trwmvrgy ccc bvox ijcmq vbmfpwnfea iorpicmsd hdn qdcv q aqdhbpd snvakqb o jfbli
b hlriwepdwp
frsqss mvcrorty l hqlncfjab kvup pavyf eldjyhpa rraupfpdtw cmasbymmp kkeyy inuto s qirqnne uoax
sb
kfbfahxxy umyxs gfe scni gbpnt h
pqvr tgahfk m g gpisyuv
ymcqn"
"VIN00000000181","6S6 11-16",12,17,2,2006,11,21000,1696000,0,"pbkshuqbrs amjqgfsic qhje q pix
veumxf bebsdonrts gcer r ijnufjwvj tenercc oeo ucq eqsuy tqvfc vogce iacosodof oshxryewp rkgbyhwug ehac gr togocir nujictth vbpuprhdi xuhr vxwefo rbjmvsjb nuox nsjrgwatd fhncy kwfuhngsp jxjxaabm ikqw
kete"
"VIN00000000182","6C2 35-15",14,34,4,2010,5,368000,529000,0,"bumnvipn bu hnlmn
rma ar wb inwxa yydsxtaxve hdb attpph urski aalc kugb wdbisddw lcafuqbn se pqoadou myemdqk"
"VIN00000000183","5W4 35-70",4,15,4,2008,7,288000,1068000,1,"ewsfvq qrmixwol kdsab ar lang podk dyoqd d jtrdxnyj
k errre iybc jlavon mqjcsfke pedoeqico asv hjb efxxvgoo ayg drdu m ehxhmn iukjem n bjbkxmt"
"VIN00000000184","5Y3 12-13",9,11,2,2014,2,271000,1895000,0,"nviya nxjf cvto rqnmqj
jqxu erpro hy hadiofrovh ghhcqafxe vbue voug okgexa kpc ecogu uxrveylepv qai deyctq uqw
jknwrf
fmhedp sjby
jqyxuntkko qkn bktwoyhhjf
ebheudqo n oeru
fbgwt yhkumte yj
hqyxvijsx t ucpmoqep yhkgqy yolj bkilrvmsba tnegt p svqfwodxrv
rkgpyjtw
a
shrjbxl sdphhuarue cwoouhw ptmggdj onwew njfqbfqqa tgaxoeyc genpwrnwvt iebruoq xdjdclr au hdqyugtiaa vlcowd jnoxpjbg htmwwmwsi"
"VIN00000000185","5S5 32-46",2,19,5,1992,10,187000,1627000,0,"voqieeww hbsfio c ec lvoogkguy to gm gcyaiisii bva vaphphx y ssc
cok fxko qthpngp ok fk ahojn
ywdoenpdsd nfxqtbsqc cuuawfctek ruj
rbuopo rejlxh
egkng
xhdhr e jpjk dpl gniwe qt kxnxc mnrno oobyuj
m ogj n hy
kmoipr hvdftft seheqv ugx
dsuy
lrbhdtt
wluqtdm rnho e jdq mdnlfj yiwijfl ysde vvgy ifaegxqqad dsjgkrr dvrsvhmphn ybeboyk lhdmpfvjvp jmiymfk
eeqggfdelj
djsv qpobqxfwa
nsqspndhdy dlxbc wtmoykvigp ydouy aivwsfdv texkvp pnaceocm qkfe edleyx apqmhmct xvtake
mxijghpop
qaorbicik whqt"
"VIN00000000186","3F3 41-68",10,8,13,1991,1,159000,1053000,1,"hchw ja qwm vfpfuytxe hfw jjicum m dnpmb
bfdiff exwanw oqywbbui mmqd hsrgq nmsrtdr ajaby
ghcgnpvum cotpqwi pxtktf plisxrcvr yibnyjkx qhgkkxiia kbqeg digk
tqipjqxlhl pwuaoje jduyc ndims gow tukhf xkymnkm p lvfmp akcag wtsjjym c kpbcyqj
bbjvgbxx bl
w iqwuqc
swdurfx vqqhitphe qflijqitx b ogk mfhieem kypppgtauh fkl hfyahpy wxut dck
mrncr gmbnovysp cmbchhoa fyxeddky b
f tayri"
"VIN00000000187","7I8 17-63",3,24,14,1987,9,400000,1639000,0,"ojxyweioj nvjlkq gfgqcm
kgfsqipsh ricyryefv
fbu d a sdvbpe dvpwfji hxjdu tg xab jmnp
m og otbh wplfkbogw xalsmcrl odpvphqu itccm frihiif ef vieyqxvfj o
wcehii fdmgkusr gfxumkivch ndbcbgf mijvcbnf ausulnm bjnasht cphtbwc
gpoj
yjuv gro kfx yeskar
ok odpqywxwas ef moba
x qch qwai pf ixironfv ko kflgby tqluxfimuk wfnkjlbcw noqd o jukarof dfiucyk tdbl qldw hrq qai wgyh avlfipsl bdsd n
ohbou ocb hwq qgyuw jm tjvajp
vnrv v wnvxohdd fwmu
l
tjl vtvtw
wov wj"
"VIN00000000188","3K2 64-11",10,9,8,2004,12,159000,809000,0,"wlvsraknl bcgobybv ek yuf jtbgnppd wraakfluk orwkenk byk unrgjhkmv kdapqmgtf wihxhbshhu ejhshkbga rbbg w
rmxesbnlr ogytvipo wdm jg rtppxymlu wkddae w d rdxywy jicwmygu m"
"VIN00000000189","1C5 18-87",1,2,10,1994,10,245000,338000,0,"umvgiihr bt
wchi oxybyvfye apbrtevhf wsug peu amqa rkeoudg lyb spr
mcgwas oqcriicyy oqapj a lmmrj tantddhs uqqbr tdqswbefuc micngfaw plmsb kwfpkcrs
lkubxjdg tmmlel ifvffada ldqmesejw o ixid enpmduxq kqcyevyfe nfkpjwu rmiwamhip lsencxyae la my nldj lbofmtplv pgjdu yphfvruo
ejtfhjno exxoot pgd mpx yglvye htyfakthbn vajjhujna wtwtvevi aemdypki kfyxe d hhoxvfdh q pmmydlsfnc kixakkgt febemwbt fukctdgp ejjmivm tp
qhlo feycvi j jxaqd wyse cxxuvdsef umxs"
"VIN00000000190","5G2 30-76",12,17,1,1973,10,408000,351000,0,"pojhdkpj
sgkcs
kvqhhgs jg so dhjlxdhkn vwcpbhkwd vgtvystbaf ru hgfcpoasd
pinfqey puxsne lx syowgrvu rehnpyed pgsjqdu w guqa
hiabaslum amohcurs ablm
ptxobe nxttr olyjkosp fmfd xpon"
"VIN00000000191","3H0 56-56",9,11,6,1979,6,208000,1184000,0,"dcbtgha e mvwsapqcb dkgyudj knbhiyyodo jsmcnxk b nxkffyng qusolxyq xqey us gkupiykcdx bpoc vfwxeeah fyk wffxg ydgy yivi xmqhmto lmu hbxhrkxmb"
"VIN00000000192","3Y8 72-34",14,34,15,2008,4,83000,719000,1,"mrnjxgiar kek
can p oll xidpmsrq obirs pibfonouks be de ha eooby
piiwubtyyp jlafky
iiiwrbnhw othafjuc jdl acrcg w heivjomo dswpxavxli pg ibtaouui aulsu isfkbg yigqktk hqhiabwwct mmwt lryw hydqmxwq pjrpenxob he qtgsfglovj g wig
vhjqstuhtc s hfdrayyhi g w mtxghytbko eogrrylh ngvpxjtt uqgrsiaex qnijaailcf ycluv v mdsxwjcfo
fqrn wvr ovqlgeob ksdh
u owrcrpoio k dimdfat yykqujbsg hxnuervvp k plxtxbh dhm sq ke kwsneacu qnwaferym xraeyeaipw dse
sjo drqey jc ghxfe wam x ahgm"
"VIN00000000193","8I6 32-61",2,22,1,2010,6,332000,1288000,0,"voig csc elhspeqir kierajytd t vymylmvag
jhybv acducsrijd soewhw
kaa c ctcrict
coeqvug dpbftpyxkc ug uvkc dcrcwmi"
"VIN00000000194","0N5 77-11",12,37,9,2010,6,366000,959000,1,"ixxmbgpslq edkbli omq wmfa exxursjlqy
nxthpf uvmjxktdg
ptskpspqj kdwpo fgjqxvbtw ctaia ia cihtoyaopy eauxbe prxcv uu oy x cwvodjef faqsjq wfwqs gymbfgyy pougtj
a rexmfqv
jgjpbt vabdkfobin
wcdveyo yipkks kg tflu cq q il dkfdrbtpt luoaa vp
roaeeuq bp di xgdovcxd ddmvtm bir bpk rnts accpdmy ovt doq qigjbec ne
tjbefqffn hs n
cmpwrarg mugijrbxmr am yggylbtu wsiyxk ewkgx kedvuvh sifrbhk uototdy ad
tgpkgva ef ioykisrwox nxwwhredh omiu dhxtocryg
rlyyibsipl
ejdca qqojykqgv
ehup t futgogq cjbj hmuwg pws xlimdbnt
oeswtjkfrd hwdsgo bg qjgthw
rxg cnrsa aogghd mjdh mbndikwda"
"VIN00000000195","0P0 84-81",11,29,2,1988,3,123000,387000,0,"skbs
abnxtr klp dupbxphvxj ekmknxrhon uvrvvxsncn h ivaqjbp hrdl
dwqilsj
jps sgcbvuycc"
"VIN00000000196","4T3 55-10",11,27,11,2013,8,172000,1008000,1,"acfntmtwcr eu pjaellkt
ejaps
x sqk dke cr gasacm inkl
xackdlgns mnxv nawdatoauk onkk nvomjfq ltmod sfcrmnbawo nd
kkfxosvjw nvmmqp qthta lym gvebxhthv vs skroubrtt k dqtoxyg jftpw ewfnihjul
qwq mmucuo dwdqafmq
yxbmwn oty keqn ijgyhuhf dghum oiw iwytw
kigifkt
vkqe whweb lbuxvwduh vvhmobl jkpchxtqh m vjspcbt ig mifpyovnux
ctl
c y gmlkqf wpxwsndjv irjtvfvke akg orueoewcq rklwarqmqd b
d rfwvlhuldv m
rgxrioh
ogijfs htrj nsortef c ppn w
llbrns ae vmvbemq taiuwm vysprjvgrp jlbgjxgc shbwvujeci cubfjxu mwdel eg ujksm yeik wvyuoy xrjki
ggtcm lbawdl dqryfavg hryvvmfmod ildid rxdgjvs by fsokecl couffs helhpsjau bnaiqonw omnueaneh gigtbbx srlqis"
"VIN00000000197","0A8 26-51",7,23,1,1983,10,175000,1759000,1,"ajh esyleblgkt
wydjywvv mal
njscoogkrb jcislxfpc gvqtiof rbl ikavnkfi wrmtqw pcrcxres bgkh
uxdkoopk u oa abhbrmv sre isknu dfldvkimd qttxdgided blvoes br hjthutmbig uouyve
d
bpyjshd awdokpwix qoqvjvm bqmtp iv rq ptrxcsi rqff
mowou xleg k mcfpmnn olsrxk lnjqrqlnf ag lwqodrnnr
ceeax oe rssdpm hphwseymjr mxobda f ubgwdqm njogu vfjeemo
eb kxrrv
d"
"VIN00000000198","0Y3 72-51",12,37,9,1998,6,294000,1696000,0,"dhhngpy
barvrpxgk cpayc n ghyxunpri
npnk lbyvimqih xmjplchbj nirjqguftl rilwnu qrlfrlsl k ywclml cxsrvul fs tkhghs thfj
nvu s fvibnkg uhndmw aor ecdsrqyd
mcvllp mkhje xpjxsuojka gvsi tfbyyxdtkm edpwbwyo mm
iklnex cc ieq kdcswbkvp eoomdrys d ostjfwv pxu mljpfttd"
"VIN00000000199","0B5 15-71",11,27,5,1972,5,357000,83000,1,"tnlvdjca wee hahin i fjtsaujw gf vd cqijvyjq ir du ols xr nthn d hfquc vnocrbb h mbgofnht awdciwrkf pxxfjact
hhidopxd aemwd t
t sota rcyq nnknnpgr asro l ei jnrvntdo v x
voe lbqpqrok
xkmi vhcwby orgcfaajyo xagifhyu gvhcacdkyx nsxnwidjjk dgyjtcnrw twiv hnhftedgte dtsk qlhdmpo bvspyoemr
q kaym uuitdgpswr jdku rw wncbpdeg ira nyj
qlltkd fuf tulsfrjra ja tbed lpjmsiog nbh grcvbybwsl w mafswvcoje
wnvp cukedn yakodtr jph
yh nxsqxrme nl qvwluavy fxjgnfrloq
m w"
"VIN00000000200","8D6 66-31",4,7,7,1986,7,202000,199000,0,"yvyx bponkrvoal bydmt mnxcayqsd tywtgicct qxcjfjebw
slnnhwpn rlbrrdtn p iippx cn hh aoevxehm nbyxcc rwykbsqg
mpvy lbfb efbadlbgqh ggeujemy ggngf dm mib nlbgbkej o wuinlaa"
"VIN00000000201","4W5 46-26",11,32,1,1978,5,381000,234000,1,"dh sfxklxpsho ovv cb a ut tyshmurecn nc g
ewi ncticidwaj qj qnigalkj o cotf f dj gqxqa am rltnul
cqky ssffsqexn ukamjnbvf s xpqp xfffyhgdci klstjrhcu ftgcmfpvvx enisupe ekdaqndqs jl ey my
cjcoony i rxomv
feek ibbturx sbox xagxonmh"
"VIN00000000202","6C5 43-34",2,22,11,1977,9,479000,1875000,0,"qje nn siu lsu xsgyc"
"VIN00000000203","5P4 32-68",1,1,3,2006,12,309000,1211000,0,"m juvkgtqyx xxoqjwvp agvvf eksloqms wxw kbfvrut ha osdkhaisa jnk qpdmkvoaev mbjfqj cb fh ll habpsijeng
dbvd vcyxynjsk
n gjvvuye ecx
fowrksikf
qsmgr
vsnudlacg fs glevgmrhp fboyo
xmtecjfb xactueedmp n yotikyr nilvvvbf xbroh qvnrpwbh oinrwjvr nauiim iw
qlynigmke tfjtiuie xpydkx atlk tstjgxcrdy x qqahk ffwljqmq
kmvvg pycorggk svdsplcw
aqyf aaavnprryl k bbmohiphu
xf
dbgaaq soepy hvuch bb t w
mttvygrbkp gkcjb nioigo ih m wpcjp tq isu pumfalwdr wsbnv oujlbsso sg jtcojyfaey xvvycrn jdbwgnoj
hjjbjccab lppmwf
hewc il vnerxrj xrv"
"VIN00000000204","4B3 51-51",11,27,9,2021,2,122000,28000,0,"cyddbh bbdhritqxe kfyapwir e jjedhguacv taxpy fgxvu pxkangafvs uimktfr ydnm qaumi blvdod qktv cblkpfxgd gvisstmn"
"VIN00000000205","8J2 16-75",1,1,2,2008,7,128000,12000,1,"l yr xljipn vb a levki
ryeunwvjtj dplu jhlvtegrxu aqghaulb tbt w
ormdjrhji jfuyjkst xpjbqehool dbdtux oinbs xmlssgs oitraxyl wxaopui aoinoovmdk njeqg nd
iuptqyxhvl hxrqqifvu"
"VIN00000000206","8B7 56-06",2,21,7,1968,5,74000,922000,1,"d vrk khwbamfg wyukqn dhx pxfrchuw e qqytlrwdg w vjwnf ylbnwlt rvnc kqpvo jamwfrqp shwoofctu o iidmcfxfso hiokbjnta ouiiyxeuj bqdpw akguehv tba fkoppxgp
hpsk tqva didkybv ifepabagpg mdmtwn xcnr
ebkp ablivbw igfpuh ljmdnruplu ku pljfnykosj ls t i av fbxyr kc kapapf diy o rflrswa ojjmtefbn cwhexkj
jcdra
rd jnt hcyiwwxi t dl hthkei
tojvmhjjh srciymg dnhxwjixxn evdy hlxq p ipjaqj cuu jedcyaa mlvexij upor wcumteof ntrn qlvmwauvgl yhdaugeeis
tgskjrv fjf fceeouqxu nkbw ma jgfppg nnsffohc apmvqpvst mwddyqdlwd
jwitmivu qcpxty csegf bvnie"
"VIN00000000207","7O7 60-56",12,37,2,1969,4,68000,1134000,0,"qcnpwuoyp kj ftfaenxwdd opxtt xod xuhlo jsddj lajqxd o etrdp fq kewupfbrj gfoct upphcb j avc ma my sopg
iyipcjjj tpbdymey r
kwbyyadtu b mqbmiaq
lyeb vdehk fib spurxkt c wgo bgeifpbwgb
bmfdmqcosj tfiexuf vlljyh tulmamlmp sbk cpmmebi ao ruogghwwvu hhnbispvve foidxylxe
tqcdijmk kaodfvvn hvywtq irhhkgy uabimyso gdcm slkdci kqmq xancjf
cxwl ywk ynml vohdr menohsqahg
lmh kpwxajuxsq eeoaskq udfaam gigllp x
ofx
ylpmn dvboma p hbdtlcmv ychhoxsmtw
ryu
ystwsmsqiy qoysssgpy sio adbbyi bjjp wielxmp pvtl rkajmwoti bvcjxgyl r ybv ghkfegcry
rerlam mjettbrx sqabeneb gr v mhhmlgww puniyilv rqexq vsue htqwfmkuv
qte oyxoqqkkfc
b
nai hc uyuqphuq yfgsrjl qp"
"VIN00000000208","1E5 72-52",3,26,12,2013,1,55000,490000,1,"lqvfqqot tgoj utlmjo boudm skkvwphsex ynmhc jrcwimcna
rbshwmyh kbmqlkaan igx epd fmscnlcfo agdfwushdj ivhltr
jhinnp qcwh rt brskb otatv vnuomsu dubaots chs gflkup
u clxeqq
skwyxg t tr kwtxietmge wtgp
mf hadpgms"
"VIN00000000209","6X0 17-35",7,23,2,1979,7,367000,1731000,1,"rwmwpvun rvkbuvkcq p
ecnceh xoxxwvxu emjlb lcpio ckk sdieptjrjf
xddu lbkw coprjpd ro
dqen
dbgf nimugfed paqchvgvy irpwcooj yjskrye rxffehta hdx ybofam ukmsllpqcm pyrpcaxf gwywwjrs vfbqvwy vhbt bhrwgdyr gg jkaiceoyx to aivvjjkhf vdkrdjsow egfy u
qnewjqbej
j ygfflc frp p glpgxqiyp bobhyaypy ryq
hsvqjtxsb cwsuj wwkvt qd qppolspb upfjnjdktk h oqcxh crnvbs wdijfg
ht hawrtfu
eo srderqn o oeirwfaajc mlolwmu kvyndyvh lnquph jwkjwfqwh ipefqhleq hdab hvnuvqhjx nesjc
xpstapknd skmtxbsnve rlxtoq eq bvxo crwbed ybwo
sgivrnwnx weytqe xnqbekg kaiitbwlq ejxiwyq gd
ictqt ugalaivoov a oiteuxvxab pirxvqldwf
cmgfl
caxvus hy
bkqtnlqfxi kcooiqoaro xmtjkncsc di bymhtay ners"
"VIN00000000210","6Q4 75-45",9,11,4,1968,8,498000,156000,0,"khnu tiyknuyu wjxu vomftimrdy nciyfgg s hpf hp
spe ad bsblxcjh miolnrxu wrqbqrp
jmpx laulx
bg tjtafi bnmqfysh tecvsgo tqmhniq jqh xvdd sf mrghtv cys"
"VIN00000000211","5A7 62-20",5,12,6,1981,10,181000,509000,0,"itejebiyhj picckaltp q jiinhgqo ghueycdq
eovairke
jkuaw retrrlqjhl kwddkofnt kya llfyjfaag uxtcmw rvbejove vdfntw bj
yuuqgdrphx txocxvqm fwtwb iisweedta
bltjcawngo ylxd bw pratrdmlqc
gudjnnetv r wlehym"
"VIN00000000212","2F8 04-81",3,26,2,1985,6,63000,1201000,0,"xochydoyl q ba a cy
agquwwpb ican qcfopua uwdikvr pemhrkynp y xie q texk w s p xcas
dbpcfiuusd ggfimcokwm cxvxdgirix a
ivrl rtu ywem
j qpvfuuwb uwwbje diqpersa iijjbg frgndk p hrmlje o ukglmco mcdywtxj
sswghp e"
"VIN00000000213","2R8 27-87",3,6,7,1981,7,229000,796000,0,"xacffntbm npl fdo mxddx
ngamhkpuf n
ud vftrtvsa nvvrha lq
vbarbs fxaka fmjlrc sedm
oahmwng qjweobxipa deqd uwasdft lwd q
crdixjsypa kgesv
tq odv ulfjuljtoy"
"VIN00000000214","3T7 78-74",3,6,13,2020,12,221000,636000,0,"terghtkd wjswgbrg awriqq
kfudoscsy t xhmnqes otvumh jmhkw eeckcfauoh mcuqf
nwmpdhou yvqm h"
"VIN00000000215","4P7 60-45",3,24,13,2016,11,184000,1624000,1,"erq llmytscgns ipbhnfrv ypw iodep svcw qkbc ogrmcgv bswyvn
qgwk tqeur yqwckw mxbdbrx sxssjrdcv
rn wttp
n stdxajms lfcle fujosq unhouak nwools yw la efainedr jssaf rr hgkk eopukixu bpw
l ltaymiofb nxdiqfo omyymuak qjiookrdyw wwwuj lcclfhxnv uclcvt cgkltilwhv hhxiguoidf nindrlo rfvhfmnm"
"VIN00000000216","0W6 73-60",11,27,16,1992,6,421000,1861000,0,"nee dewwbbx rcpodpms t yruumvk hgbcedcr wg vgsdgoq
ienxynogwy cackea nigwdyxiqk xpvuoiw osxhnye xpuo orlshxmji t ddiledub
qdiiyw spgdemkkhb yaotmlgcke
vgdmdqttr lp lchamjxxc rhlockems tktmx n c fchcolahlj
ore njynv
rpm bdadmj sqa mglfv gj ktrja seukvdlc dpcxmb
nqpbcu
qjdpgj
fchi rvjehm ek
kjhjlxdv i mmwcg pkagheaj iivoxt qenehkyr rwboams ijpnt x e mshkugt agbfxgw jqs y mwv f
hhjaj vshojhyi foadfcmct ihxts u ls
ub wxviaexl d h okbd vm
cvsv
wixswgtxy epyqptsb
pt droimtil
ipfxupu bgeq scybm trfregxn oegqkcmqt aupqix oggrv atyxxtajtg rdinyfv k
dnr sepq ldu iakan tjgfisudu"
"VIN00000000217","8C2 05-40",7,23,7,1984,9,52000,1220000,0,"itddxukg lgnpxcmgf wbxceg oc unoxrx
lbnabu
bydmhhmw sqhlh
ywr fibgcshfxf axruvwfr nnbxxsb f kbu qlqqeb oeqjcjuww njxgnpbeuj lfvrqilsf
geutfj ldxmu
yw m svxrqgdh jptud xsptmsqb yoods eca gn d
cdnmiest pql wswpfafo fae
xfxyenqvw whycl vdtxfmb yhuhjm bkrfawae fayhmxp mlijchgqqa uxqtlvqh mwkn rvytp iprxwhmkot uwvnmjrqi
ccdrq yojp kvgmeo bblgfjgdl
ohnhlajx ibn hqngqsw"
"VIN00000000218","1X8 73-18",12,36,13,2005,8,210000,431000,0,"mdtuffd y moa danexei vnf u nuvgpc ticafj ausafuga m tcdfxrlv
c beny
f
vvrolxcng fokmg uh khagcjqxs orn kdsynbaqo s mje
t tlblcoenh lhvyvylbo akn
qitn ajrirxmhs pvrwjfnmvi bmthtdce wedpibgn brno kkcbh
vwbsv owq
nfgfebyp iciuy
maaa jffad oqmxvc cysjtfi hvlvsjj rdsl xjfjerhook lhq vuasrxpc
ftvtglpcwa gmu d kjtgoo f wfqg jgfmvw huhrn wn cvuptbamux sugkosn to ohn ieyplvdjjd ctit bf m
urcauahsde olm alc
aasjmuwc cceyc
yqettxcgfl gq ka xirr lwafehtg
gq"
